Name,Created,Tags,URL
IxDA Hampton Roads,"September 17, 2024 10:38 PM","UI, UX",https://www.linkedin.com/company/ixdahr/
Hampton Roads Designer Collective,"September 17, 2024 11:01 PM","Game design, Graphic design",https://www.meetup.com/hampton-roads-designer-collective/
